Wk,Date,Rk.1,Prev,Chng,team,team_location
6,2006-12-11,24,,,Air Force,"USAF Academy, Colorado"
7,2006-12-18,24,24,-,Air Force,"USAF Academy, Colorado"
8,2006-12-25,23,24,1,Air Force,"USAF Academy, Colorado"
9,2007-01-01,20,23,3,Air Force,"USAF Academy, Colorado"
10,2007-01-08,18,20,2,Air Force,"USAF Academy, Colorado"
11,2007-01-15,13,18,5,Air Force,"USAF Academy, Colorado"
12,2007-01-22,16,13,3,Air Force,"USAF Academy, Colorado"
13,2007-01-29,17,16,1,Air Force,"USAF Academy, Colorado"
14,2007-02-05,15,17,2,Air Force,"USAF Academy, Colorado"
15,2007-02-12,17,15,2,Air Force,"USAF Academy, Colorado"
16,2007-02-19,14,17,3,Air Force,"USAF Academy, Colorado"
17,2007-02-26,25,14,11,Air Force,"USAF Academy, Colorado"
17,2004-03-08,25,,,Air Force,"USAF Academy, Colorado"
9,2021-01-18,18,,,Alabama,"Tuscaloosa, Alabama"
10,2021-01-25,9,18,9,Alabama,"Tuscaloosa, Alabama"
11,2021-02-01,10,9,1,Alabama,"Tuscaloosa, Alabama"
12,2021-02-08,11,10,1,Alabama,"Tuscaloosa, Alabama"
13,2021-02-15,8,11,3,Alabama,"Tuscaloosa, Alabama"
14,2021-02-22,6,8,2,Alabama,"Tuscaloosa, Alabama"
15,2021-03-01,8,6,2,Alabama,"Tuscaloosa, Alabama"
3,2017-11-20,25,,,Alabama,"Tuscaloosa, Alabama"
4,2017-11-27,24,25,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,19,,—,Alabama,"Tuscaloosa, Alabama"
2,2011-11-14,16,19,3,Alabama,"Tuscaloosa, Alabama"
3,2011-11-21,13,16,3,Alabama,"Tuscaloosa, Alabama"
4,2011-11-28,12,13,1,Alabama,"Tuscaloosa, Alabama"
5,2011-12-05,16,12,4,Alabama,"Tuscaloosa, Alabama"
6,2011-12-12,23,16,7,Alabama,"Tuscaloosa, Alabama"
1,Preseason,11,,—,Alabama,"Tuscaloosa, Alabama"
2,2006-11-13,10,11,1,Alabama,"Tuscaloosa, Alabama"
3,2006-11-20,8,10,2,Alabama,"Tuscaloosa, Alabama"
4,2006-11-27,6,8,2,Alabama,"Tuscaloosa, Alabama"
5,2006-12-04,4,6,2,Alabama,"Tuscaloosa, Alabama"
6,2006-12-11,9,4,5,Alabama,"Tuscaloosa, Alabama"
7,2006-12-18,10,9,1,Alabama,"Tuscaloosa, Alabama"
8,2006-12-25,8,10,2,Alabama,"Tuscaloosa, Alabama"
9,2007-01-01,8,8,-,Alabama,"Tuscaloosa, Alabama"
10,2007-01-08,14,8,6,Alabama,"Tuscaloosa, Alabama"
11,2007-01-15,10,14,4,Alabama,"Tuscaloosa, Alabama"
12,2007-01-22,12,10,2,Alabama,"Tuscaloosa, Alabama"
13,2007-01-29,19,12,7,Alabama,"Tuscaloosa, Alabama"
14,2007-02-05,18,19,1,Alabama,"Tuscaloosa, Alabama"
15,2007-02-12,25,18,7,Alabama,"Tuscaloosa, Alabama"
16,2007-02-19,25,25,-,Alabama,"Tuscaloosa, Alabama"
1,Preseason,15,,—,Alabama,"Tuscaloosa, Alabama"
2,2005-11-14,15,15,-,Alabama,"Tuscaloosa, Alabama"
3,2005-11-21,19,15,4,Alabama,"Tuscaloosa, Alabama"
4,2005-11-28,21,19,2,Alabama,"Tuscaloosa, Alabama"
5,2005-12-05,22,21,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,18,,—,Alabama,"Tuscaloosa, Alabama"
2,2004-11-15,18,18,-,Alabama,"Tuscaloosa, Alabama"
3,2004-11-22,19,18,1,Alabama,"Tuscaloosa, Alabama"
4,2004-11-29,22,19,3,Alabama,"Tuscaloosa, Alabama"
5,2004-12-06,18,22,4,Alabama,"Tuscaloosa, Alabama"
6,2004-12-13,17,18,1,Alabama,"Tuscaloosa, Alabama"
7,2004-12-20,19,17,2,Alabama,"Tuscaloosa, Alabama"
8,2004-12-27,18,19,1,Alabama,"Tuscaloosa, Alabama"
9,2005-01-03,19,18,1,Alabama,"Tuscaloosa, Alabama"
10,2005-01-10,23,19,4,Alabama,"Tuscaloosa, Alabama"
11,2005-01-17,22,23,1,Alabama,"Tuscaloosa, Alabama"
12,2005-01-24,14,22,8,Alabama,"Tuscaloosa, Alabama"
13,2005-01-31,11,14,3,Alabama,"Tuscaloosa, Alabama"
14,2005-02-07,17,11,6,Alabama,"Tuscaloosa, Alabama"
15,2005-02-14,16,17,1,Alabama,"Tuscaloosa, Alabama"
16,2005-02-21,16,16,-,Alabama,"Tuscaloosa, Alabama"
17,2005-02-28,21,16,5,Alabama,"Tuscaloosa, Alabama"
18,2005-03-07,20,21,1,Alabama,"Tuscaloosa, Alabama"
19,Final,21,20,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,8,,—,Alabama,"Tuscaloosa, Alabama"
2,2002-11-18,4,8,4,Alabama,"Tuscaloosa, Alabama"
3,2002-11-25,4,4,-,Alabama,"Tuscaloosa, Alabama"
4,2002-12-02,3,4,1,Alabama,"Tuscaloosa, Alabama"
5,2002-12-09,2,3,1,Alabama,"Tuscaloosa, Alabama"
6,2002-12-16,2,2,-,Alabama,"Tuscaloosa, Alabama"
7,2002-12-23,1,2,1,Alabama,"Tuscaloosa, Alabama"
8,2002-12-30,1,1,-,Alabama,"Tuscaloosa, Alabama"
9,2003-01-06,4,1,3,Alabama,"Tuscaloosa, Alabama"
10,2003-01-13,9,4,5,Alabama,"Tuscaloosa, Alabama"
11,2003-01-20,15,9,6,Alabama,"Tuscaloosa, Alabama"
12,2003-01-27,23,15,8,Alabama,"Tuscaloosa, Alabama"
13,2003-02-03,22,23,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,24,,—,Alabama,"Tuscaloosa, Alabama"
2,2001-11-19,22,24,2,Alabama,"Tuscaloosa, Alabama"
3,2001-11-26,21,22,1,Alabama,"Tuscaloosa, Alabama"
4,2001-12-03,16,21,5,Alabama,"Tuscaloosa, Alabama"
5,2001-12-10,22,16,6,Alabama,"Tuscaloosa, Alabama"
6,2001-12-17,23,22,1,Alabama,"Tuscaloosa, Alabama"
7,2001-12-24,21,23,2,Alabama,"Tuscaloosa, Alabama"
8,2001-12-31,18,21,3,Alabama,"Tuscaloosa, Alabama"
9,2002-01-07,14,18,4,Alabama,"Tuscaloosa, Alabama"
10,2002-01-14,16,14,2,Alabama,"Tuscaloosa, Alabama"
11,2002-01-21,14,16,2,Alabama,"Tuscaloosa, Alabama"
12,2002-01-28,7,14,7,Alabama,"Tuscaloosa, Alabama"
13,2002-02-04,5,7,2,Alabama,"Tuscaloosa, Alabama"
14,2002-02-11,7,5,2,Alabama,"Tuscaloosa, Alabama"
15,2002-02-18,5,7,2,Alabama,"Tuscaloosa, Alabama"
16,2002-02-25,6,5,1,Alabama,"Tuscaloosa, Alabama"
17,2002-03-04,8,6,2,Alabama,"Tuscaloosa, Alabama"
18,Final,8,8,-,Alabama,"Tuscaloosa, Alabama"
5,2000-12-04,23,,,Alabama,"Tuscaloosa, Alabama"
6,2000-12-11,18,23,5,Alabama,"Tuscaloosa, Alabama"
7,2000-12-18,17,18,1,Alabama,"Tuscaloosa, Alabama"
8,2000-12-25,20,17,3,Alabama,"Tuscaloosa, Alabama"
9,2001-01-01,18,20,2,Alabama,"Tuscaloosa, Alabama"
10,2001-01-08,16,18,2,Alabama,"Tuscaloosa, Alabama"
11,2001-01-15,15,16,1,Alabama,"Tuscaloosa, Alabama"
12,2001-01-22,18,15,3,Alabama,"Tuscaloosa, Alabama"
13,2001-01-29,17,18,1,Alabama,"Tuscaloosa, Alabama"
14,2001-02-05,18,17,1,Alabama,"Tuscaloosa, Alabama"
15,2001-02-12,21,18,3,Alabama,"Tuscaloosa, Alabama"
16,2001-02-19,14,21,7,Alabama,"Tuscaloosa, Alabama"
17,2001-02-26,20,14,6,Alabama,"Tuscaloosa, Alabama"
5,1996-12-09,24,,,Alabama,"Tuscaloosa, Alabama"
6,1996-12-16,20,24,4,Alabama,"Tuscaloosa, Alabama"
7,1996-12-23,19,20,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,18,,—,Alabama,"Tuscaloosa, Alabama"
2,1994-11-21,25,18,7,Alabama,"Tuscaloosa, Alabama"
12,1995-01-30,20,,,Alabama,"Tuscaloosa, Alabama"
13,1995-02-06,23,20,3,Alabama,"Tuscaloosa, Alabama"
14,1995-02-13,18,23,5,Alabama,"Tuscaloosa, Alabama"
15,1995-02-20,20,18,2,Alabama,"Tuscaloosa, Alabama"
16,1995-02-27,21,20,1,Alabama,"Tuscaloosa, Alabama"
17,1995-03-06,20,21,1,Alabama,"Tuscaloosa, Alabama"
18,Final,20,20,-,Alabama,"Tuscaloosa, Alabama"
1,Preseason,17,,—,Alabama,"Tuscaloosa, Alabama"
2,1991-11-25,16,17,1,Alabama,"Tuscaloosa, Alabama"
3,1991-12-02,15,16,1,Alabama,"Tuscaloosa, Alabama"
4,1991-12-09,20,15,5,Alabama,"Tuscaloosa, Alabama"
5,1991-12-16,20,20,-,Alabama,"Tuscaloosa, Alabama"
6,1991-12-23,20,20,-,Alabama,"Tuscaloosa, Alabama"
7,1991-12-30,19,20,1,Alabama,"Tuscaloosa, Alabama"
8,1992-01-06,16,19,3,Alabama,"Tuscaloosa, Alabama"
9,1992-01-13,9,16,7,Alabama,"Tuscaloosa, Alabama"
10,1992-01-20,15,9,6,Alabama,"Tuscaloosa, Alabama"
11,1992-01-27,22,15,7,Alabama,"Tuscaloosa, Alabama"
12,1992-02-03,18,22,4,Alabama,"Tuscaloosa, Alabama"
13,1992-02-10,16,18,2,Alabama,"Tuscaloosa, Alabama"
14,1992-02-17,14,16,2,Alabama,"Tuscaloosa, Alabama"
15,1992-02-24,16,14,2,Alabama,"Tuscaloosa, Alabama"
16,1992-03-02,20,16,4,Alabama,"Tuscaloosa, Alabama"
17,1992-03-09,17,20,3,Alabama,"Tuscaloosa, Alabama"
18,Final,13,17,4,Alabama,"Tuscaloosa, Alabama"
1,Preseason,7,,—,Alabama,"Tuscaloosa, Alabama"
2,1990-11-26,6,7,1,Alabama,"Tuscaloosa, Alabama"
3,1990-12-03,12,6,6,Alabama,"Tuscaloosa, Alabama"
4,1990-12-10,20,12,8,Alabama,"Tuscaloosa, Alabama"
15,1991-02-25,24,,,Alabama,"Tuscaloosa, Alabama"
16,1991-03-04,24,24,-,Alabama,"Tuscaloosa, Alabama"
17,Final,19,24,5,Alabama,"Tuscaloosa, Alabama"
3,1989-12-04,21,,,Alabama,"Tuscaloosa, Alabama"
4,1989-12-11,19,21,2,Alabama,"Tuscaloosa, Alabama"
5,1989-12-18,20,19,1,Alabama,"Tuscaloosa, Alabama"
6,1989-12-25,22,20,2,Alabama,"Tuscaloosa, Alabama"
7,1990-01-01,22,22,-,Alabama,"Tuscaloosa, Alabama"
8,1990-01-08,24,22,2,Alabama,"Tuscaloosa, Alabama"
9,1990-01-15,25,24,1,Alabama,"Tuscaloosa, Alabama"
10,1990-01-22,24,25,1,Alabama,"Tuscaloosa, Alabama"
17,Final,23,,,Alabama,"Tuscaloosa, Alabama"
18,Final,20,,,Alabama,"Tuscaloosa, Alabama"
1,Preseason,13,,—,Alabama,"Tuscaloosa, Alabama"
2,1986-12-01,8,13,5,Alabama,"Tuscaloosa, Alabama"
3,1986-12-08,18,8,10,Alabama,"Tuscaloosa, Alabama"
8,1987-01-12,15,,,Alabama,"Tuscaloosa, Alabama"
9,1987-01-19,13,15,2,Alabama,"Tuscaloosa, Alabama"
10,1987-01-26,9,13,4,Alabama,"Tuscaloosa, Alabama"
11,1987-02-02,9,9,-,Alabama,"Tuscaloosa, Alabama"
12,1987-02-09,14,9,5,Alabama,"Tuscaloosa, Alabama"
13,1987-02-16,12,14,2,Alabama,"Tuscaloosa, Alabama"
14,1987-02-23,10,12,2,Alabama,"Tuscaloosa, Alabama"
15,1987-03-02,9,10,1,Alabama,"Tuscaloosa, Alabama"
16,Final,9,9,-,Alabama,"Tuscaloosa, Alabama"
12,1986-02-03,20,,,Alabama,"Tuscaloosa, Alabama"
13,1986-02-10,18,20,2,Alabama,"Tuscaloosa, Alabama"
1,Preseason,12,,—,Alabama,"Tuscaloosa, Alabama"
2,1982-11-29,13,12,1,Alabama,"Tuscaloosa, Alabama"
3,1982-12-06,11,13,2,Alabama,"Tuscaloosa, Alabama"
4,1982-12-13,10,11,1,Alabama,"Tuscaloosa, Alabama"
5,1982-12-20,8,10,2,Alabama,"Tuscaloosa, Alabama"
6,1982-12-27,6,8,2,Alabama,"Tuscaloosa, Alabama"
7,1983-01-03,5,6,1,Alabama,"Tuscaloosa, Alabama"
8,1983-01-10,10,5,5,Alabama,"Tuscaloosa, Alabama"
1,Preseason,20,,—,Alabama,"Tuscaloosa, Alabama"
2,1981-11-30,17,20,3,Alabama,"Tuscaloosa, Alabama"
3,1981-12-07,16,17,1,Alabama,"Tuscaloosa, Alabama"
4,1981-12-14,14,16,2,Alabama,"Tuscaloosa, Alabama"
5,1981-12-21,12,14,2,Alabama,"Tuscaloosa, Alabama"
6,1981-12-28,12,12,-,Alabama,"Tuscaloosa, Alabama"
7,1982-01-04,16,12,4,Alabama,"Tuscaloosa, Alabama"
8,1982-01-11,13,16,3,Alabama,"Tuscaloosa, Alabama"
9,1982-01-18,16,13,3,Alabama,"Tuscaloosa, Alabama"
10,1982-01-25,13,16,3,Alabama,"Tuscaloosa, Alabama"
11,1982-02-01,8,13,5,Alabama,"Tuscaloosa, Alabama"
12,1982-02-08,10,8,2,Alabama,"Tuscaloosa, Alabama"
13,1982-02-15,19,10,9,Alabama,"Tuscaloosa, Alabama"
14,1982-02-22,17,19,2,Alabama,"Tuscaloosa, Alabama"
15,1982-03-01,18,17,1,Alabama,"Tuscaloosa, Alabama"
16,Final,13,18,5,Alabama,"Tuscaloosa, Alabama"
1,Preseason,19,,—,Alabama,"Tuscaloosa, Alabama"
9,1979-01-15,18,,,Alabama,"Tuscaloosa, Alabama"
10,1979-01-22,18,18,-,Alabama,"Tuscaloosa, Alabama"
11,1979-01-29,13,18,5,Alabama,"Tuscaloosa, Alabama"
12,1979-02-05,16,13,3,Alabama,"Tuscaloosa, Alabama"
13,1979-02-12,20,16,4,Alabama,"Tuscaloosa, Alabama"
1,Preseason,15,,—,Alabama,"Tuscaloosa, Alabama"
2,1977-11-28,15,15,-,Alabama,"Tuscaloosa, Alabama"
5,1977-12-19,18,,,Alabama,"Tuscaloosa, Alabama"
1,Preseason,13,,—,Alabama,"Tuscaloosa, Alabama"
2,1976-11-29,13,13,-,Alabama,"Tuscaloosa, Alabama"
3,1976-12-06,10,13,3,Alabama,"Tuscaloosa, Alabama"
4,1976-12-13,7,10,3,Alabama,"Tuscaloosa, Alabama"
5,1976-12-20,5,7,2,Alabama,"Tuscaloosa, Alabama"
6,1976-12-27,4,5,1,Alabama,"Tuscaloosa, Alabama"
7,1977-01-03,4,4,-,Alabama,"Tuscaloosa, Alabama"
8,1977-01-10,4,4,-,Alabama,"Tuscaloosa, Alabama"
9,1977-01-17,3,4,1,Alabama,"Tuscaloosa, Alabama"
10,1977-01-24,3,3,-,Alabama,"Tuscaloosa, Alabama"
11,1977-01-31,8,3,5,Alabama,"Tuscaloosa, Alabama"
12,1977-02-07,7,8,1,Alabama,"Tuscaloosa, Alabama"
13,1977-02-14,4,7,3,Alabama,"Tuscaloosa, Alabama"
14,1977-02-21,8,4,4,Alabama,"Tuscaloosa, Alabama"
15,1977-02-28,12,8,4,Alabama,"Tuscaloosa, Alabama"
16,1977-03-07,12,12,-,Alabama,"Tuscaloosa, Alabama"
17,Final,11,12,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,12,,—,Alabama,"Tuscaloosa, Alabama"
2,1975-12-01,14,12,2,Alabama,"Tuscaloosa, Alabama"
3,1975-12-08,11,14,3,Alabama,"Tuscaloosa, Alabama"
4,1975-12-15,8,11,3,Alabama,"Tuscaloosa, Alabama"
5,1975-12-22,8,8,-,Alabama,"Tuscaloosa, Alabama"
6,1975-12-29,8,8,-,Alabama,"Tuscaloosa, Alabama"
7,1976-01-05,10,8,2,Alabama,"Tuscaloosa, Alabama"
8,1976-01-12,11,10,1,Alabama,"Tuscaloosa, Alabama"
9,1976-01-19,12,11,1,Alabama,"Tuscaloosa, Alabama"
10,1976-01-26,11,12,1,Alabama,"Tuscaloosa, Alabama"
11,1976-02-02,14,11,3,Alabama,"Tuscaloosa, Alabama"
12,1976-02-09,11,14,3,Alabama,"Tuscaloosa, Alabama"
13,1976-02-16,10,11,1,Alabama,"Tuscaloosa, Alabama"
14,1976-02-23,7,10,3,Alabama,"Tuscaloosa, Alabama"
15,1976-03-01,6,7,1,Alabama,"Tuscaloosa, Alabama"
16,1976-03-08,8,6,2,Alabama,"Tuscaloosa, Alabama"
17,Final,6,8,2,Alabama,"Tuscaloosa, Alabama"
1,Preseason,9,,—,Alabama,"Tuscaloosa, Alabama"
2,1974-12-02,11,9,2,Alabama,"Tuscaloosa, Alabama"
3,1974-12-09,10,11,1,Alabama,"Tuscaloosa, Alabama"
4,1974-12-16,8,10,2,Alabama,"Tuscaloosa, Alabama"
5,1974-12-23,7,8,1,Alabama,"Tuscaloosa, Alabama"
6,1974-12-30,6,7,1,Alabama,"Tuscaloosa, Alabama"
7,1975-01-06,8,6,2,Alabama,"Tuscaloosa, Alabama"
8,1975-01-13,7,8,1,Alabama,"Tuscaloosa, Alabama"
9,1975-01-20,6,7,1,Alabama,"Tuscaloosa, Alabama"
10,1975-01-27,9,6,3,Alabama,"Tuscaloosa, Alabama"
11,1975-02-03,7,9,2,Alabama,"Tuscaloosa, Alabama"
12,1975-02-10,7,7,-,Alabama,"Tuscaloosa, Alabama"
13,1975-02-17,5,7,2,Alabama,"Tuscaloosa, Alabama"
14,1975-02-24,8,5,3,Alabama,"Tuscaloosa, Alabama"
15,1975-03-03,7,8,1,Alabama,"Tuscaloosa, Alabama"
16,1975-03-10,10,7,3,Alabama,"Tuscaloosa, Alabama"
17,1975-03-17,11,10,1,Alabama,"Tuscaloosa, Alabama"
18,1975-03-24,11,11,-,Alabama,"Tuscaloosa, Alabama"
19,Final,10,11,1,Alabama,"Tuscaloosa, Alabama"
1,Preseason,18,,—,Alabama,"Tuscaloosa, Alabama"
2,1973-12-03,18,18,-,Alabama,"Tuscaloosa, Alabama"
3,1973-12-10,13,18,5,Alabama,"Tuscaloosa, Alabama"
4,1973-12-17,10,13,3,Alabama,"Tuscaloosa, Alabama"
5,1973-12-24,13,10,3,Alabama,"Tuscaloosa, Alabama"
6,1974-01-02,7,13,6,Alabama,"Tuscaloosa, Alabama"
7,1974-01-07,12,7,5,Alabama,"Tuscaloosa, Alabama"
8,1974-01-14,10,12,2,Alabama,"Tuscaloosa, Alabama"
9,1974-01-21,9,10,1,Alabama,"Tuscaloosa, Alabama"
10,1974-01-28,8,9,1,Alabama,"Tuscaloosa, Alabama"
11,1974-02-04,8,8,-,Alabama,"Tuscaloosa, Alabama"
12,1974-02-11,8,8,-,Alabama,"Tuscaloosa, Alabama"
13,1974-02-18,8,8,-,Alabama,"Tuscaloosa, Alabama"
14,1974-02-25,7,8,1,Alabama,"Tuscaloosa, Alabama"
15,1974-03-04,12,7,5,Alabama,"Tuscaloosa, Alabama"
16,1974-03-11,11,12,1,Alabama,"Tuscaloosa, Alabama"
17,1974-03-18,13,11,2,Alabama,"Tuscaloosa, Alabama"
18,Final,14,13,1,Alabama,"Tuscaloosa, Alabama"
5,1972-12-25,18,,,Alabama,"Tuscaloosa, Alabama"
6,1973-01-01,14,18,4,Alabama,"Tuscaloosa, Alabama"
7,1973-01-08,14,14,-,Alabama,"Tuscaloosa, Alabama"
8,1973-01-15,11,14,3,Alabama,"Tuscaloosa, Alabama"
9,1973-01-22,9,11,2,Alabama,"Tuscaloosa, Alabama"
10,1973-01-29,6,9,3,Alabama,"Tuscaloosa, Alabama"
11,1973-02-05,10,6,4,Alabama,"Tuscaloosa, Alabama"
12,1973-02-12,17,10,7,Alabama,"Tuscaloosa, Alabama"
13,1973-02-19,18,17,1,Alabama,"Tuscaloosa, Alabama"
1,1956-12-10,9,,—,Alabama,"Tuscaloosa, Alabama"
2,1956-12-17,17,9,8,Alabama,"Tuscaloosa, Alabama"
1,1955-12-05,6,,—,Alabama,"Tuscaloosa, Alabama"
2,1955-12-12,5,6,1,Alabama,"Tuscaloosa, Alabama"
3,1955-12-19,16,5,11,Alabama,"Tuscaloosa, Alabama"
4,1955-12-26,19,16,3,Alabama,"Tuscaloosa, Alabama"
5,1956-01-02,17,19,2,Alabama,"Tuscaloosa, Alabama"
6,1956-01-09,19,17,2,Alabama,"Tuscaloosa, Alabama"
7,1956-01-16,13,19,6,Alabama,"Tuscaloosa, Alabama"
8,1956-01-23,12,13,1,Alabama,"Tuscaloosa, Alabama"
9,1956-01-30,12,12,-,Alabama,"Tuscaloosa, Alabama"
10,1956-02-06,10,12,2,Alabama,"Tuscaloosa, Alabama"
11,1956-02-13,8,10,2,Alabama,"Tuscaloosa, Alabama"
12,1956-02-20,7,8,1,Alabama,"Tuscaloosa, Alabama"
13,1956-02-27,4,7,3,Alabama,"Tuscaloosa, Alabama"
14,1956-03-05,4,4,-,Alabama,"Tuscaloosa, Alabama"
15,Final,5,4,1,Alabama,"Tuscaloosa, Alabama"
3,1954-12-20,19,,,Alabama,"Tuscaloosa, Alabama"
4,1954-12-27,12,19,7,Alabama,"Tuscaloosa, Alabama"
5,1955-01-03,20,12,8,Alabama,"Tuscaloosa, Alabama"
6,1955-01-10,16,20,4,Alabama,"Tuscaloosa, Alabama"
7,1955-01-17,12,16,4,Alabama,"Tuscaloosa, Alabama"
8,1955-01-24,14,12,2,Alabama,"Tuscaloosa, Alabama"
9,1955-01-31,13,14,1,Alabama,"Tuscaloosa, Alabama"
10,1955-02-07,13,13,-,Alabama,"Tuscaloosa, Alabama"
11,1955-02-14,17,13,4,Alabama,"Tuscaloosa, Alabama"
12,1955-02-21,12,17,5,Alabama,"Tuscaloosa, Alabama"
13,1955-02-28,11,12,1,Alabama,"Tuscaloosa, Alabama"
14,Final,12,11,1,Alabama,"Tuscaloosa, Alabama"
8,2009-12-28,24,,,Alabama-Birmingham,"Birmingham, Alabama"
12,2010-01-25,25,,,Alabama-Birmingham,"Birmingham, Alabama"
18,2006-03-06,24,,,Alabama-Birmingham,"Birmingham, Alabama"
19,Final,25,24,1,Alabama-Birmingham,"Birmingham, Alabama"
9,1994-01-10,22,,,Alabama-Birmingham,"Birmingham, Alabama"
10,1994-01-17,18,22,4,Alabama-Birmingham,"Birmingham, Alabama"
11,1994-01-24,20,18,2,Alabama-Birmingham,"Birmingham, Alabama"
12,1994-01-31,17,20,3,Alabama-Birmingham,"Birmingham, Alabama"
13,1994-02-07,19,17,2,Alabama-Birmingham,"Birmingham, Alabama"
14,1994-02-14,21,19,2,Alabama-Birmingham,"Birmingham, Alabama"
16,1994-02-28,24,,,Alabama-Birmingham,"Birmingham, Alabama"
17,1994-03-07,22,24,2,Alabama-Birmingham,"Birmingham, Alabama"
1,Preseason,16,,—,Alabama-Birmingham,"Birmingham, Alabama"
2,1985-11-25,20,16,4,Alabama-Birmingham,"Birmingham, Alabama"
3,1985-12-02,17,20,3,Alabama-Birmingham,"Birmingham, Alabama"
4,1985-12-09,16,17,1,Alabama-Birmingham,"Birmingham, Alabama"
5,1985-12-16,14,16,2,Alabama-Birmingham,"Birmingham, Alabama"
6,1985-12-23,14,14,-,Alabama-Birmingham,"Birmingham, Alabama"
7,1985-12-30,16,14,2,Alabama-Birmingham,"Birmingham, Alabama"
8,1986-01-06,14,16,2,Alabama-Birmingham,"Birmingham, Alabama"
9,1986-01-13,12,14,2,Alabama-Birmingham,"Birmingham, Alabama"
10,1986-01-20,18,12,6,Alabama-Birmingham,"Birmingham, Alabama"
2,1984-11-26,13,,,Alabama-Birmingham,"Birmingham, Alabama"
3,1984-12-03,18,13,5,Alabama-Birmingham,"Birmingham, Alabama"
4,1984-12-10,17,18,1,Alabama-Birmingham,"Birmingham, Alabama"
11,1985-01-28,20,,,Alabama-Birmingham,"Birmingham, Alabama"
13,1985-02-11,19,,,Alabama-Birmingham,"Birmingham, Alabama"
1,Preseason,14,,—,Alabama-Birmingham,"Birmingham, Alabama"
2,1981-11-30,11,14,3,Alabama-Birmingham,"Birmingham, Alabama"
3,1981-12-07,9,11,2,Alabama-Birmingham,"Birmingham, Alabama"
4,1981-12-14,16,9,7,Alabama-Birmingham,"Birmingham, Alabama"
5,1981-12-21,19,16,3,Alabama-Birmingham,"Birmingham, Alabama"
15,1982-03-01,20,,,Alabama-Birmingham,"Birmingham, Alabama"
16,Final,17,20,3,Alabama-Birmingham,"Birmingham, Alabama"
1,Preseason,21,,—,Arizona,"Tucson, Arizona"
2,2019-11-11,19,21,2,Arizona,"Tucson, Arizona"
3,2019-11-18,14,19,5,Arizona,"Tucson, Arizona"
4,2019-11-25,14,14,-,Arizona,"Tucson, Arizona"
5,2019-12-02,12,14,2,Arizona,"Tucson, Arizona"
6,2019-12-09,15,12,3,Arizona,"Tucson, Arizona"
7,2019-12-16,16,15,1,Arizona,"Tucson, Arizona"
8,2019-12-23,24,16,8,Arizona,"Tucson, Arizona"
9,2019-12-30,25,24,1,Arizona,"Tucson, Arizona"
10,2020-01-06,24,25,1,Arizona,"Tucson, Arizona"
12,2020-01-20,22,,,Arizona,"Tucson, Arizona"
14,2020-02-03,23,,,Arizona,"Tucson, Arizona"
16,2020-02-17,24,,,Arizona,"Tucson, Arizona"
1,Preseason,3,,—,Arizona,"Tucson, Arizona"
2,2017-11-13,3,3,-,Arizona,"Tucson, Arizona"
3,2017-11-20,2,3,1,Arizona,"Tucson, Arizona"
6,2017-12-11,23,,,Arizona,"Tucson, Arizona"
7,2017-12-18,18,23,5,Arizona,"Tucson, Arizona"
8,2017-12-25,17,18,1,Arizona,"Tucson, Arizona"
9,2018-01-01,14,17,3,Arizona,"Tucson, Arizona"
10,2018-01-08,17,14,3,Arizona,"Tucson, Arizona"
11,2018-01-15,14,17,3,Arizona,"Tucson, Arizona"
12,2018-01-22,11,14,3,Arizona,"Tucson, Arizona"
13,2018-01-29,9,11,2,Arizona,"Tucson, Arizona"
14,2018-02-05,13,9,4,Arizona,"Tucson, Arizona"
15,2018-02-12,17,13,4,Arizona,"Tucson, Arizona"
16,2018-02-19,14,17,3,Arizona,"Tucson, Arizona"
17,2018-02-26,19,14,5,Arizona,"Tucson, Arizona"
18,2018-03-05,15,19,4,Arizona,"Tucson, Arizona"
19,Final,12,15,3,Arizona,"Tucson, Arizona"
1,Preseason,10,,—,Arizona,"Tucson, Arizona"
2,2016-11-14,10,10,-,Arizona,"Tucson, Arizona"
3,2016-11-21,8,10,2,Arizona,"Tucson, Arizona"
4,2016-11-28,16,8,8,Arizona,"Tucson, Arizona"
5,2016-12-05,20,16,4,Arizona,"Tucson, Arizona"
6,2016-12-12,19,20,1,Arizona,"Tucson, Arizona"
7,2016-12-19,18,19,1,Arizona,"Tucson, Arizona"
8,2016-12-26,18,18,-,Arizona,"Tucson, Arizona"
9,2017-01-02,17,18,1,Arizona,"Tucson, Arizona"
10,2017-01-09,16,17,1,Arizona,"Tucson, Arizona"
11,2017-01-16,14,16,2,Arizona,"Tucson, Arizona"
12,2017-01-23,7,14,7,Arizona,"Tucson, Arizona"
13,2017-01-30,5,7,2,Arizona,"Tucson, Arizona"
14,2017-02-06,9,5,4,Arizona,"Tucson, Arizona"
15,2017-02-13,5,9,4,Arizona,"Tucson, Arizona"
16,2017-02-20,4,5,1,Arizona,"Tucson, Arizona"
17,2017-02-27,7,4,3,Arizona,"Tucson, Arizona"
18,2017-03-06,7,7,-,Arizona,"Tucson, Arizona"
